playerID,name_api,strikeout_diff,walks_diff,innings_diff,hits_diff,homeRuns_diff
641438,Shane Carle,0,27,4.666666666666664,0,0
458924,Jonny Venters,-11,10,-12.899999999999999,-11,-1
592426,Luke Jackson,0,21,0.8666666666666671,-1,0
