playerID,name_api,strikeouts_api,walks_api,inningsPitched_api,hits_api,homeRuns_api
641438,Shane Carle,43,27,63.0,50,2
458924,Jonny Venters,16,10,20.1,15,0
592426,Luke Jackson,46,21,40.2,41,3
